City Name,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Rio Grande,-32.035,-52.0986,283.68,88,0,3.97,BR,1663317855
Dikson,73.5069,80.5464,276.67,69,97,4.73,RU,1663318041
Namatanai,-3.6667,152.4333,300.3,76,100,5.9,PG,1663318041
Upata,8.0086,-62.3989,296.59,98,100,1.57,VE,1663318042
Getulio Vargas,-32.6796,-53.5494,284.21,97,0,2.64,UY,1663318042
George Town,5.4112,100.3354,302.53,77,40,2.57,MY,1663317204
Lebu,-37.6167,-73.65,284.99,93,100,5.34,CL,1663317922
Grindavik,63.8424,-22.4338,279.41,87,75,3.09,IS,1663318043
Shirokiy,49.758,129.523,291.78,78,99,2.38,RU,1663318043
Bikin,46.8161,134.26,288.62,84,100,2.2,RU,1663318044
Ughelli,5.4899,6.0074,300.09,77,100,2.27,NG,1663318044
Kaoma,-14.7833,24.8,302.33,25,23,4.23,ZM,1663318044
Gulu,2.7746,32.299,297.81,70,66,1.5,UG,1663318015
Caravelas,-17.7125,-39.2481,295.84,86,100,1.83,BR,1663318046
Pringsewu,-5.3582,104.9744,303.41,60,87,1.43,ID,1663317767
Airai,-8.9266,125.4092,293.07,65,93,0.95,TL,1663318046
Provideniya,64.3833,-173.3,280.72,92,100,6.21,RU,1663318046
Ahipara,-35.1667,173.1667,283.42,75,22,3.27,NZ,1663318047
Tautira,-17.7333,-149.15,297.31,74,100,8.73,PF,1663318047
Mayo,38.8876,-76.5119,289.12,90,7,1.8,US,1663317783
Lompoc,34.6391,-120.4579,289.27,92,100,4.12,US,1663318047
Hithadhoo,-0.6,73.0833,301.08,61,1,1.97,MV,1663318048
Arraial do Cabo,-22.9661,-42.0278,291.78,85,100,4.25,BR,1663317795
Port Alfred,-33.5906,26.891,296.58,69,0,1.79,ZA,1663317934
Tiksi,71.6872,128.8694,277.17,62,100,2.92,RU,1663318048
Bengkulu,-3.8004,102.2655,301.22,77,66,3.03,ID,1663317809
Saint Paul Harbor,57.79,-152.4072,281.88,87,0,2.57,US,1663318049
Padang,-0.9492,100.3543,302.18,83,79,1.18,ID,1663317900
Saldanha,-33.0117,17.9442,290.18,78,64,4.41,ZA,1663317773
Magadan,59.5667,150.8,280.76,69,18,3.27,RU,1663318050
Walvis Bay,-22.9575,14.5053,289.68,77,0,3.09,NA,1663318050
Garoowe,8.4054,48.4845,306.27,34,43,10.31,SO,1663317823
Hualmay,-11.0964,-77.6139,288.97,87,64,2.77,PE,1663318051
Inhambane,-23.865,35.3833,298.15,69,20,4.12,MZ,1663318052
Tasiilaq,65.6145,-37.6368,276.24,78,56,3.11,GL,1663318052
Ancud,-41.8697,-73.8203,277.72,90,100,0.92,CL,1663317818
Pisco,-13.7,-76.2167,286.89,93,21,1.14,PE,1663318052
Keflavik,64.0049,-22.5624,279.39,87,75,3.09,IS,1663318053
Longyearbyen,78.2186,15.6401,273.06,80,100,2.57,SJ,1663317793
Manturovo,58.3353,44.7619,288.19,68,73,2.01,RU,1663318054
Grimshaw,56.1834,-117.6027,285.46,87,20,1.54,CA,1663318054
San Patricio,28.017,-97.5169,301.07,77,0,2.58,US,1663318055
Maple Creek,49.9168,-109.4848,288.18,72,33,6.17,CA,1663318055
Terme,41.2092,36.9739,305.11,37,3,2.54,TR,1663318056
Mahajanga,-15.7167,46.3167,304.16,30,20,8.23,MG,1663318056
Sarmanovo,55.2553,52.5891,286.53,68,100,3.31,RU,1663318056
Hilo,19.7297,-155.09,298.86,87,40,2.06,US,1663318057
Olafsvik,64.8945,-23.7142,281.65,78,42,4.09,IS,1663318057
Kralendijk,12.15,-68.2667,300.14,78,67,2.06,BQ,1663317752
Clyde River,70.4692,-68.5914,274.28,100,100,3.09,CA,1663318058
Guánica,17.9716,-66.908,300.92,83,14,2.12,PR,1663318058
Bambous Virieux,-20.3428,57.7575,298.29,61,75,7.2,MU,1663318058
Alakurtti,66.9672,30.3491,282.35,97,100,4.68,RU,1663318059
Cherskiy,68.75,161.3,275.31,84,98,3.01,RU,1663318059
Ihiala,5.8538,6.8603,297.51,88,100,2.0,NG,1663318059
Moree,-29.4667,149.85,288.42,51,56,2.18,AU,1663318060
Fairbanks,64.8378,-147.7164,283.13,90,100,1.54,US,1663318060
Iqaluit,63.7506,-68.5145,278.0,75,75,5.66,CA,1663318060
Garh Maharaja,30.8339,71.9053,313.3,18,0,3.08,PK,1663317974
Severo-Kuril'sk,50.6789,156.125,283.16,83,20,7.42,RU,1663318061
Ponta do Sol,32.6667,-17.1,298.5,85,0,0.6,PT,1663318061
Puerto Escondido,15.85,-97.0667,298.51,85,100,0.95,MX,1663317881
Dryden,49.7833,-92.7503,283.31,93,100,4.63,CA,1663318062
Bourail,-21.5667,165.4833,293.88,75,69,2.6,NC,1663318062
New Norfolk,-42.7826,147.0587,283.66,86,100,1.48,AU,1663318062
Kautokeino,69.0125,23.0412,279.52,98,100,6.9,NO,1663318062
Kerewan,13.4898,-16.0888,300.46,86,6,2.66,GM,1663318063
Winnemucca,40.973,-117.7357,284.18,28,0,4.12,US,1663318063
Avarua,-21.2078,-159.775,296.18,78,20,5.66,CK,1663317778
Balkanabat,39.5108,54.3671,303.25,22,30,2.74,TM,1663317977
Kasempa,-13.4584,25.8338,301.26,27,5,4.19,ZM,1663318064
Anadyr,64.75,177.4833,280.43,75,75,4.0,RU,1663318064
Atuona,-9.8,-139.0333,298.03,67,59,8.77,PF,1663318064
Moberly,39.4184,-92.4382,291.16,85,0,2.57,US,1663318064
Bariloche,-41.1456,-71.3082,278.72,88,100,1.54,AR,1663318066
Fortuna,40.5982,-124.1573,284.87,89,2,1.13,US,1663318066
Tsumeb,-19.2333,17.7167,300.66,14,0,7.39,NA,1663318066
Canindé,-4.3589,-39.3117,295.74,85,23,1.04,BR,1663317966
Champerico,14.3,-91.9167,298.05,87,100,3.45,GT,1663318067
Kodinsk,58.6881,99.1844,285.76,52,65,2.08,RU,1663318067
Evanton,57.6638,-4.34,284.11,74,45,4.34,GB,1663318067
Byron Bay,-28.65,153.6167,292.56,83,36,4.92,AU,1663317744
Yukhnov,54.7444,35.2297,285.03,98,100,3.33,RU,1663318068
Saint-Philippe,-21.3585,55.7679,297.92,82,47,7.35,RE,1663318068
Taphan Hin,16.2209,100.4198,303.79,67,87,1.93,TH,1663317843
Kiunga,-6.1219,141.2906,299.35,85,100,0.3,PG,1663318068
Zhigalovo,54.8097,105.1578,286.17,41,26,3.35,RU,1663318069
Dunedin,-45.8742,170.5036,278.6,80,7,1.85,NZ,1663318069
Nandikotkūr,15.8667,78.2667,303.24,56,97,6.55,IN,1663317975
Tuatapere,-46.1333,167.6833,277.83,83,48,1.75,NZ,1663318069
Saiki,32.95,131.9,299.24,74,83,4.4,JP,1663317996
Baruun-Urt,46.6806,113.2792,300.12,21,64,7.23,MN,1663318070
Port Lincoln,-34.7333,135.8667,285.29,67,14,10.04,AU,1663318070
Mahébourg,-20.4081,57.7,298.31,61,75,7.2,MU,1663318070
Cape Town,-33.9258,18.4232,292.66,74,20,1.34,ZA,1663317849
Belmonte,-15.8631,-38.8828,295.45,85,39,2.98,BR,1663318071
Laranjeiras do Sul,-25.4078,-52.4161,281.32,98,6,1.63,BR,1663317868
Mogadishu,2.0371,45.3438,299.66,73,52,7.07,SO,1663317639
Quelimane,-17.8786,36.8883,299.12,65,20,2.06,MZ,1663318072
Mar del Plata,-38.0023,-57.5575,285.9,93,100,7.15,AR,1663318072
Narsaq,60.9167,-46.05,289.27,88,100,6.89,GL,1663318072
Iquitos,-3.7481,-73.2472,295.08,98,100,2.16,PE,1663318072
St Austell,50.3383,-4.7658,289.44,67,20,5.14,GB,1663318073
San Cristobal,7.7669,-72.225,291.85,87,99,0.71,VE,1663318073
Tari,12.4086,4.4914,300.0,75,100,6.18,NG,1663318073
Seoul,37.5683,126.9778,302.93,78,75,4.12,KR,1663317749
Batticaloa,7.7102,81.6924,303.35,66,11,4.95,LK,1663318074
Calabozo,8.9242,-67.4293,295.36,93,17,1.83,VE,1663318074
Geraldton,-28.7667,114.6,292.38,63,75,6.17,AU,1663317957
Gilbués,-9.8317,-45.3439,295.36,40,31,1.77,BR,1663318075
Chui,-33.6971,-53.4616,284.56,94,0,2.67,UY,1663317997
Saskylakh,71.9167,114.0833,275.81,66,88,6.91,RU,1663318076
Ribeira Grande,38.5167,-28.7,296.37,94,40,4.12,PT,1663318076
Norman Wells,65.282,-126.8329,278.17,100,100,1.03,CA,1663318077
Port Elizabeth,-33.918,25.5701,291.31,82,40,5.66,ZA,1663318077
Richards Bay,-28.783,32.0377,302.8,41,6,4.23,ZA,1663318077
Mandiana,10.6333,-8.6833,298.36,87,100,1.91,GN,1663318078
Xinzhou,38.4092,112.7333,299.94,38,40,1.3,CN,1663317832
Alice Springs,-23.7,133.8833,298.9,12,0,3.6,AU,1663318078
Carnarvon,-24.8667,113.6333,294.52,51,0,8.44,AU,1663318078
Moses Lake,47.1301,-119.2781,290.53,82,0,0.0,US,1663318079
Votkinsk,57.0486,53.9872,288.58,52,100,3.98,RU,1663318079
Bethel,41.3712,-73.414,284.53,85,0,1.54,US,1663318079
Barcelos,41.5388,-8.6151,294.23,74,0,0.84,PT,1663318080
Qujing,25.4833,103.7833,293.76,77,90,2.82,CN,1663317834
Nanortalik,60.1432,-45.2371,282.15,84,100,7.43,GL,1663318080
Kyotera,-0.6156,31.5175,298.77,51,83,5.24,UG,1663318080
Itoman,26.1247,127.6694,304.58,79,20,8.75,JP,1663317845
Samarai,-10.6167,150.6667,300.38,82,17,5.57,PG,1663318082
Ruwi,23.5996,58.5507,308.98,45,34,3.47,OM,1663318082
Bara,10.3744,10.7288,295.03,78,100,6.33,NG,1663318082
Warora,20.2333,79.0,300.6,80,100,5.97,IN,1663318082
Miyako,39.6367,141.9525,294.42,88,100,4.31,JP,1663317925
Las Choapas,17.9333,-94.0833,295.79,98,100,0.95,MX,1663317899
Hofn,64.2539,-15.2082,279.16,93,100,1.54,IS,1663318084
Gayny,60.3071,54.3241,290.28,45,99,4.49,RU,1663318084
Trairi,-3.2778,-39.2689,297.43,85,40,3.8,BR,1663318019
Presidente Médici,-11.1753,-61.9014,295.78,62,7,2.07,BR,1663318085
Ayagoz,47.9714,80.4392,287.22,28,0,8.68,KZ,1663318085
Yangambi,0.8102,24.4336,304.54,53,90,0.43,CD,1663318025
Laurel,39.0993,-76.8483,288.85,90,0,1.54,US,1663318086
Lais,6.3328,125.6464,302.1,72,60,1.77,PH,1663318086
Taoudenni,22.6783,-3.9836,310.13,12,4,5.77,ML,1663318087
Margate,51.3813,1.3862,287.42,66,88,1.34,GB,1663318087
Vao,-22.6667,167.4833,294.39,62,8,6.87,NC,1663318088
Jiuquan,39.7432,98.5174,297.55,19,1,4.18,CN,1663318088
Baie-Saint-Paul,47.4411,-70.4986,284.62,61,94,6.26,CA,1663318088
Coquimbo,-29.9533,-71.3436,285.0,100,100,1.54,CL,1663318089
Vikulovo,56.8167,70.6107,291.01,35,66,4.31,RU,1663318089
Atar,20.5169,-13.0499,303.3,23,0,5.58,MR,1663318090
Meulaboh,4.1363,96.1285,302.19,69,23,4.59,ID,1663318090
Lovozero,68.005,35.0117,281.16,98,100,3.66,RU,1663318090
Chokurdakh,70.6333,147.9167,276.01,74,97,1.7,RU,1663318091
Vila Velha,-20.3297,-40.2925,294.12,96,100,1.03,BR,1663318091
Racine,42.7495,-88.0751,292.07,92,100,3.09,US,1663318091
Boralday,43.3578,76.8594,296.07,21,1,3.0,KZ,1663318091
Kālāvad,22.2167,70.3833,304.46,70,100,6.44,IN,1663318092
Mamou,10.5,-12.0,295.23,95,100,0.69,GN,1663318092
Ixtapa,20.7,-105.2,299.39,90,99,1.79,MX,1663317889
Saint-Pierre,-21.3393,55.4781,297.97,65,40,13.38,RE,1663317571
Aquiraz,-3.9014,-38.3911,299.2,85,58,4.44,BR,1663318093
Alofi,-19.0595,-169.9187,297.09,88,82,2.57,NU,1663317714
Port Blair,11.6667,92.75,297.17,88,75,4.12,IN,1663318093
Xingcheng,40.6167,120.7167,297.0,58,14,7.31,CN,1663318093
Swan Hill,-35.3378,143.5544,283.21,89,92,5.33,AU,1663318094
Aklavik,68.2191,-135.0107,275.9,95,100,2.82,CA,1663318094
Ségou,13.4317,-6.2157,297.65,78,100,5.04,ML,1663318094
Faya,18.3851,42.4509,301.44,16,11,3.74,SA,1663318095
Kyzyl-Suu,42.3414,78.0056,293.34,27,0,2.65,KG,1663318096
Sawang Daen Din,17.4753,103.4575,304.88,66,100,0.62,TH,1663317809
Burnie,-41.0667,145.9167,285.33,83,37,3.92,AU,1663317820
Kavaratti,10.5669,72.642,300.41,78,50,4.7,IN,1663317947
Camacha,33.0833,-16.3333,295.83,83,40,4.63,PT,1663318097
Praia da Vitória,38.7333,-27.0667,296.29,88,40,2.9,PT,1663318098
Launceston,-41.45,147.1667,284.45,93,100,0.0,AU,1663318022
Port Hardy,50.6996,-127.4199,283.15,100,75,2.57,CA,1663318098
Yinchuan,38.4681,106.2731,297.98,37,100,2.32,CN,1663317807
Peace River,56.2501,-117.286,286.85,81,20,1.54,CA,1663318099
Hervey Bay,-25.2986,152.8535,294.83,82,90,3.58,AU,1663318099
Touros,-5.1989,-35.4608,297.65,76,18,4.69,BR,1663318100
Cizre,37.3272,42.1903,306.71,13,0,2.06,TR,1663318100
Dicabisagan,17.0818,122.4157,301.21,80,17,1.21,PH,1663318101
Gupitan,7.7758,125.6406,301.36,80,89,0.77,PH,1663318101
Katherine,-14.4667,132.2667,309.33,26,30,2.57,AU,1663318101
Chake Chake,-5.2459,39.7666,301.45,58,59,5.1,TZ,1663318102
Ilulissat,69.2167,-51.1,275.16,100,75,0.0,GL,1663318102
Gilgit,35.9221,74.3087,302.37,29,25,2.18,PK,1663318102
Nelson Bay,-32.7167,152.15,292.04,60,33,3.13,AU,1663318103
Nome,64.5011,-165.4064,281.19,87,40,4.12,US,1663318103
Talnakh,69.4865,88.3972,276.6,74,100,5.09,RU,1663318103
Kamenka,51.3223,42.7678,292.31,68,93,2.99,RU,1663318103
Salalah,17.0151,54.0924,303.2,74,75,5.66,OM,1663318104
Sauda,59.6506,6.3542,287.42,80,88,1.56,NO,1663318104
Mandalī,33.7499,45.5541,310.99,11,0,7.87,IQ,1663318104
Korla,41.7597,86.1469,300.38,15,16,2.77,CN,1663318105
Numan,9.4667,12.0333,297.29,91,100,6.79,NG,1663318105
Tezu,27.9167,96.1667,302.33,81,48,1.31,IN,1663318105
Broken Hill,-31.95,141.4333,287.83,56,100,11.37,AU,1663318026
Nabire,-3.3667,135.4833,299.37,83,100,0.47,ID,1663317964
San Jose,37.3394,-121.895,290.22,81,100,3.09,US,1663317851
Powell,40.1578,-83.0752,288.23,95,0,1.54,US,1663318108
Mackenzie,55.2999,-123.1698,279.27,87,75,1.03,CA,1663318109
Forsytheganj,52.6333,29.7333,287.99,74,100,3.95,BY,1663318109
Dingle,10.9995,122.6711,298.79,89,100,3.96,PH,1663318109
Umluj,25.0213,37.2685,305.94,48,0,9.28,SA,1663318110
Pangkalanbuun,-2.6833,111.6167,300.45,81,100,1.79,ID,1663317949
Sitka,57.0531,-135.33,285.09,82,75,2.06,US,1663318111
Kasongo-Lunda,-6.4667,16.8167,305.49,44,36,0.77,CD,1663318111
Awjilah,29.1081,21.2869,303.54,28,0,1.44,LY,1663318111
Gizo Government Station,-8.103,156.8419,301.08,70,19,3.55,SB,1663318112
Lata,40.1629,-8.3327,293.75,73,0,0.73,PT,1663318112
Misratah,32.3754,15.0925,301.54,49,0,4.48,LY,1663318112
Vila Franca do Campo,37.7167,-25.4333,296.59,90,100,4.17,PT,1663318113
Hamilton,39.1834,-84.5333,290.92,94,100,0.0,US,1663317791
Waddān,29.1614,16.139,304.27,26,0,3.41,LY,1663318113
Zhangye,38.9342,100.4517,297.81,21,97,1.34,CN,1663318113
Qurayyat,31.3318,37.3428,304.25,16,0,0.0,SA,1663318114
Prăjeni,47.5167,27.0167,294.19,75,80,6.31,RO,1663318114
Sørland,67.667,12.6934,285.07,73,100,5.08,NO,1663318114
Gijang,35.2442,129.2139,304.0,86,3,3.52,KR,1663318115
Ranot,7.7777,100.3213,305.2,56,98,5.46,TH,1663318115
Mutoko,-17.397,32.2268,297.46,31,0,3.62,ZW,1663318115
East London,-33.0153,27.9116,298.67,47,0,1.54,ZA,1663317925
Piopio,-38.4667,175.0167,279.13,98,19,0.58,NZ,1663318116
Marystown,47.1666,-55.1483,285.87,78,100,8.5,CA,1663318116
Faanui,-16.4833,-151.75,298.54,76,27,10.74,PF,1663318116
Klaksvík,62.2266,-6.589,280.66,75,92,9.25,FO,1663318117
Salinópolis,-0.6136,-47.3561,299.08,82,100,5.41,BR,1663317964
Zhenjiang,32.2092,119.4342,298.73,72,90,1.17,CN,1663318099
Kruisfontein,-34.0033,24.7314,298.87,33,5,2.0,ZA,1663318118
Tuy Hoa,13.0833,109.3,303.8,65,100,2.08,VN,1663317629
Cayenne,4.9333,-52.3333,298.17,94,100,0.0,GF,1663317791
Repelón,10.4919,-75.1292,298.08,95,100,1.63,CO,1663318119
Conde,-7.2597,-34.9075,293.85,94,20,1.03,BR,1663317968
Tessalit,20.1986,1.0114,310.79,9,60,5.97,ML,1663318119
Karatuzskoye,53.6072,92.8667,284.82,61,98,1.31,RU,1663318120
Broome,42.2506,-75.833,281.86,87,0,2.06,US,1663318120
Sur,22.5667,59.5289,310.74,38,64,0.61,OM,1663318120
Bathsheba,13.2167,-59.5167,298.49,100,20,2.06,BB,1663318121
Chumikan,54.7183,135.315,284.71,61,94,1.14,RU,1663318121
Shikarpur,27.9571,68.6379,310.09,20,0,1.57,PK,1663318121
Maragogi,-9.0122,-35.2225,296.5,69,42,2.81,BR,1663317894
Cardston,49.2,-113.3019,288.31,71,100,1.54,CA,1663318122
Port Keats,-14.25,129.55,300.49,73,7,4.17,AU,1663318122
Isangel,-19.55,169.2667,295.79,78,59,5.28,VU,1663318122
Yebaishou,41.3975,119.6408,296.79,44,0,5.91,CN,1663317826
Lisala,2.15,21.5167,304.56,49,80,0.85,CD,1663318123
Kirakira,-10.4544,161.9205,299.73,84,5,2.67,SB,1663318013
Adrar,20.5022,-10.0711,302.5,21,6,7.22,MR,1663318123
Torbay,47.6666,-52.7314,285.69,92,40,4.63,CA,1663318124
Klaeng,12.7797,101.6483,303.41,78,100,3.35,TH,1663318124
Roald,62.5833,6.1333,285.79,82,75,6.69,NO,1663318124
Āmli,20.2833,73.0167,299.14,91,100,2.75,IN,1663318124
Le Port,-20.9373,55.2919,298.15,74,34,2.84,RE,1663318125
Moss Point,30.4116,-88.5345,294.4,96,0,0.0,US,1663318125
Harper,4.375,-7.7169,298.66,83,100,4.26,LR,1663318125
Cockburn Town,21.4612,-71.1419,301.57,77,27,8.28,TC,1663317793
Kudahuvadhoo,2.6708,72.8944,300.37,69,35,2.07,MV,1663318126
Puerto Nariño,-3.7703,-70.3831,293.9,99,100,1.76,CO,1663318126
Olinda,-8.0089,-34.8553,297.0,69,40,2.57,BR,1663317870
Arauco,-37.2463,-73.3175,285.15,96,100,3.92,CL,1663318126
Metro,-5.1131,105.3067,303.34,58,97,4.17,ID,1663318127
Port Augusta,-32.5,137.7667,288.22,41,88,7.18,AU,1663318127
Urusha,54.05,122.9,282.49,74,97,1.87,RU,1663318127
Paita,-5.0892,-81.1144,290.66,87,79,3.53,PE,1663318127
Beringovskiy,63.05,179.3167,280.37,95,100,10.24,RU,1663318128
Emerald,-23.5333,148.1667,297.78,59,34,1.39,AU,1663317930
Weligama,5.9667,80.4167,302.8,63,11,5.52,LK,1663318128
Verkhoyansk,67.5447,133.385,277.94,66,100,3.51,RU,1663318128
Whitehorse,60.7161,-135.0538,279.58,70,20,5.14,CA,1663318129
Raton,36.9034,-104.4391,284.85,60,0,3.09,US,1663318129
Guerrero Negro,27.9769,-114.0611,293.45,81,0,7.21,MX,1663318129
La Ronge,55.1001,-105.2842,285.29,76,0,2.57,CA,1663318129
Troitsko-Pechorsk,62.7084,56.1964,289.52,50,100,4.39,RU,1663318130
Kathmandu,27.7167,85.3167,298.27,73,75,1.03,NP,1663317469
Wuxue,29.8506,115.5525,304.09,42,0,3.2,CN,1663318131
Sobolevo,54.4299,31.8996,288.2,73,81,5.74,RU,1663318131
Atasū,48.6814,71.6433,291.39,18,75,5.9,KZ,1663318131
Rawson,-43.3002,-65.1023,283.84,63,100,4.64,AR,1663318132
Deputatsky,69.3,139.9,270.35,83,36,1.5,RU,1663318132
Aketi,2.7388,23.7833,305.23,47,97,0.93,CD,1663318025
Norwich,52.6278,1.2983,286.47,81,20,5.14,GB,1663318132
Makurdi,7.7411,8.5121,297.87,87,100,1.72,NG,1663318112
Wilmington,34.2257,-77.9447,291.98,85,0,2.06,US,1663318133
Grants,35.1473,-107.8514,280.28,76,0,0.0,US,1663318133
Sorong,-0.8833,131.25,300.88,75,99,2.48,ID,1663317997
Beyneu,45.3167,55.2,296.03,32,99,1.24,KZ,1663318134
Kaeo,-35.1,173.7833,282.02,84,12,3.03,NZ,1663318134
Abū Zabad,12.35,29.25,303.17,55,70,5.56,SD,1663318134
Brazzaville,-4.2658,15.2832,298.32,73,75,3.6,CG,1663317791
Srīvardhan,18.0333,73.0167,299.59,89,100,5.89,IN,1663318135
Merauke,-8.4667,140.3333,300.48,82,37,7.58,ID,1663318135
Diffa,13.3154,12.6113,305.16,48,96,5.57,NE,1663318135
Shakawe,-18.3667,21.85,303.03,15,0,4.02,BW,1663318136
Hue,16.4667,107.6,305.21,66,20,5.66,VN,1663317887
Burayevo,55.8407,55.4083,289.4,44,100,3.48,RU,1663318136
Mossamedes,-15.1961,12.1522,293.5,83,0,0.0,AO,1663318136
Albanel,48.8832,-72.4487,281.23,76,78,4.12,CA,1663318137
Quepem,15.2167,74.0667,302.02,84,100,4.55,IN,1663318137
Kahului,20.8947,-156.47,301.16,70,100,2.06,US,1663318137
Pochutla,15.7432,-96.4661,297.49,92,100,1.49,MX,1663318138
Sabang,5.8933,95.3214,301.48,74,38,7.44,ID,1663318138
Seinäjoki,62.7945,22.8282,285.36,92,75,1.54,FI,1663318138
Lavrentiya,65.5833,-171.0,280.08,89,81,4.23,RU,1663318138
Boa Vista,2.8197,-60.6733,297.14,83,0,1.03,BR,1663318139
Saint-Leu,-21.15,55.2833,297.63,74,20,5.56,RE,1663318139
Pasni,25.2631,63.471,300.47,82,0,5.62,PK,1663318134
Koło,52.2002,18.6387,288.52,56,20,7.85,PL,1663318139
San Policarpo,12.1791,125.5072,302.63,69,100,3.52,PH,1663318140
